id,uu_id,name,year,time,imdb,votes,meta_score,gross,description,price,certification_id
34,37b44ad2-c1b2-49af-bfe3-9c8f024e6283,Fake Movie Title 34,2015,164,6.3,273141,,438606460,A description for 'Fake Movie Title 34'.,4.99,3
35,e7d408ce-394f-4125-9038-e4a4860b497f,Fake Movie Title 35,2003,151,4.6,815917,,,A description for 'Fake Movie Title 35'.,4.99,5
36,abda4ac1-3b41-42ad-8f01-4e03ea25471f,Fake Movie Title 36,1997,117,6.7,340050,93,72156650,A description for 'Fake Movie Title 36'.,4.99,2
37,0f23408e-bd5b-4b7d-9393-c420fbdeef37,Fake Movie Title 37,2019,139,5.5,39019,,309071718,A description for 'Fake Movie Title 37'.,19.99,1
38,ab23ef51-d130-4951-8aa4-90bc29310d9f,Fake Movie Title 38,2008,109,8.3,992875,41,,A description for 'Fake Movie Title 38'.,4.99,2
39,94967123-e0c6-4bf1-91e3-d1e4a2adea36,Fake Movie Title 39,2024,92,8.9,703105,50,69135088,A description for 'Fake Movie Title 39'.,4.99,3
40,f4873993-1ad6-45d5-a294-b77ec21f364e,Fake Movie Title 40,1984,175,8.4,143753,58,103599140,A description for 'Fake Movie Title 40'.,4.99,2
41,6d40848a-e56e-49ea-bb47-09ca21816391,Fake Movie Title 41,1983,179,7.5,379807,75,138008036,A description for 'Fake Movie Title 41'.,19.99,2
42,f0fd977f-49b4-4098-9ecd-e6a27796b379,Fake Movie Title 42,1980,99,7.5,17965,86,220426387,A description for 'Fake Movie Title 42'.,14.99,1
43,1c241172-3357-4f05-a113-8419eb9393a7,Fake Movie Title 43,1983,110,4.3,300047,92,,A description for 'Fake Movie Title 43'.,4.99,3
44,0960b42b-f9a5-4cb1-977a-47c35a9dd4b7,Fake Movie Title 44,2021,89,7.3,789668,96,,A description for 'Fake Movie Title 44'.,9.99,4
45,3110c7b9-a763-4f30-8334-d0f1ace114b4,Fake Movie Title 45,1987,128,9.1,622395,,450098123,A description for 'Fake Movie Title 45'.,4.99,2
46,c0c84778-5adb-4b02-83f6-a6d0c91250af,Fake Movie Title 46,1984,139,6.8,74738,84,243684963,A description for 'Fake Movie Title 46'.,14.99,2
47,50fd59eb-b23e-44e6-88f3-27a028eeaf0b,Fake Movie Title 47,2024,142,6.5,808236,99,167774100,A description for 'Fake Movie Title 47'.,19.99,1
48,c816f163-eea6-4fc0-8058-d44a3fa4dbb3,Fake Movie Title 48,2006,97,4.8,399749,57,206085489,A description for 'Fake Movie Title 48'.,14.99,1
49,80541de5-2dc0-440e-b819-233b8434d7ac,Fake Movie Title 49,2004,172,6.5,426438,46,207008004,A description for 'Fake Movie Title 49'.,19.99,6
50,7c97cdaf-76f9-4abd-a339-666a9850b785,Fake Movie Title 50,1997,81,4.3,870202,57,352392645,A description for 'Fake Movie Title 50'.,4.99,5
51,af7fcc4c-0ea9-4319-9d48-4f6d3657d8cb,Fake Movie Title 51,1986,142,5.5,946416,81,219652837,A description for 'Fake Movie Title 51'.,19.99,4
52,539edda9-12ca-4976-9d7b-d3192e366b2a,Fake Movie Title 52,2001,172,8.6,500895,,9428110,A description for 'Fake Movie Title 52'.,14.99,4
53,fe5f5f45-80e5-4b8d-9013-391922476848,Fake Movie Title 53,2003,154,7.5,184297,98,149021119,A description for 'Fake Movie Title 53'.,14.99,5
54,112a2c48-6333-467a-94c9-9f477d66561c,Fake Movie Title 54,1994,143,5.9,861297,,,A description for 'Fake Movie Title 54'.,9.99,2
55,17ef5035-bcde-450d-9b3c-01df3e54f22e,Fake Movie Title 55,1998,108,8.1,845452,69,486172317,A description for 'Fake Movie Title 55'.,19.99,3
56,17a3da25-bfdf-49c1-b100-0be2e69e9468,Fake Movie Title 56,2010,150,8.2,638719,,498098324,A description for 'Fake Movie Title 56'.,4.99,4
57,eaf86669-912d-4471-838c-31ffd3cb1795,Fake Movie Title 57,2007,176,8.2,816412,88,443837984,A description for 'Fake Movie Title 57'.,14.99,3
58,c3fa9785-aa53-4a4b-b9e2-b48860c735c6,Fake Movie Title 58,1981,107,4.4,837486,,146444386,A description for 'Fake Movie Title 58'.,14.99,5
59,09a6e624-b1b7-44e5-a27c-c00bff371508,Fake Movie Title 59,2012,122,6.7,598405,39,425053079,A description for 'Fake Movie Title 59'.,14.99,6
60,1126405f-468f-44c1-be66-88f0350a0fdd,Fake Movie Title 60,1998,102,4.6,222840,42,239468271,A description for 'Fake Movie Title 60'.,4.99,6
61,cd5e4526-02e8-421f-9ce6-47bbd491687f,Fake Movie Title 61,1997,118,4.7,366548,,,A description for 'Fake Movie Title 61'.,19.99,2
62,57cbee5e-ce3a-4685-815c-736b2e33d7d4,Fake Movie Title 62,2021,160,8.5,584703,94,241089838,A description for 'Fake Movie Title 62'.,14.99,1
63,fc4e4ed9-7c4f-42b0-a108-b58cca46fa7d,Fake Movie Title 63,1986,124,4.3,78581,,207434357,A description for 'Fake Movie Title 63'.,4.99,1
64,d876ea57-7be8-476a-a962-de4923b346ec,Fake Movie Title 64,1992,164,6.7,380375,74,429615383,A description for 'Fake Movie Title 64'.,9.99,2
65,d9c55d38-0670-41fe-88be-739c64503a4d,Fake Movie Title 65,2014,137,7.1,976282,54,,A description for 'Fake Movie Title 65'.,9.99,2
66,38626a1b-83d7-402e-92be-a37db534f07d,Fake Movie Title 66,2010,118,4.8,344464,69,136181097,A description for 'Fake Movie Title 66'.,9.99,3
67,786ba085-003d-4998-be1f-9ef6311f83fb,Fake Movie Title 67,2018,114,6.6,549776,41,191364993,A description for 'Fake Movie Title 67'.,4.99,5
68,994272ca-97a9-4fb6-9bd6-92a0c10923bb,Fake Movie Title 68,1982,160,9.1,584773,60,10233238,A description for 'Fake Movie Title 68'.,4.99,5
69,05d9def0-d9aa-4f7c-94a9-c860234d167d,Fake Movie Title 69,1999,104,9.0,633086,,209681537,A description for 'Fake Movie Title 69'.,19.99,1
70,c000638c-0cc7-4b0b-8f38-13b76c418f68,Fake Movie Title 70,2012,99,8.2,163342,65,,A description for 'Fake Movie Title 70'.,19.99,3
71,2834b964-959e-443e-8b02-f5d819427e6e,Fake Movie Title 71,1994,123,6.1,665506,64,,A description for 'Fake Movie Title 71'.,4.99,4
72,15faa2be-a477-468a-ad3c-d273975d57fb,Fake Movie Title 72,1981,150,5.6,695723,47,,A description for 'Fake Movie Title 72'.,14.99,3
73,7e810665-3108-45a2-8b26-9062dd731e7b,Fake Movie Title 73,2011,139,7.6,649500,50,459560610,A description for 'Fake Movie Title 73'.,19.99,5
74,64288130-6e28-4a5e-8894-7ce3db217642,Fake Movie Title 74,1987,95,7.1,399114,,420372502,A description for 'Fake Movie Title 74'.,9.99,2
75,b8d701e2-4d5b-4e4e-8140-fe6d756036a1,Fake Movie Title 75,2006,114,7.2,809706,86,216014842,A description for 'Fake Movie Title 75'.,14.99,5
76,833910a0-bebc-4ca1-ab96-f55829e967eb,Fake Movie Title 76,1988,110,7.7,72054,66,,A description for 'Fake Movie Title 76'.,14.99,5
77,b361b331-742f-44e4-95e9-62aa7007a551,Fake Movie Title 77,2009,159,8.2,488168,,93944288,A description for 'Fake Movie Title 77'.,4.99,4
78,e34ddcc0-f58c-432a-b2fd-bc1ecf9c39b8,Fake Movie Title 78,1996,127,8.9,778009,,394170440,A description for 'Fake Movie Title 78'.,14.99,6
79,dceab9b8-ce17-4c32-813f-e30f805ee8d2,Fake Movie Title 79,1987,116,4.6,930188,85,235423241,A description for 'Fake Movie Title 79'.,14.99,6
80,3755677c-409a-4d6c-8413-4996de523971,Fake Movie Title 80,1993,99,9.0,401604,85,267716553,A description for 'Fake Movie Title 80'.,9.99,6
81,5eb508e6-09eb-4cd1-b086-e1769fa87d87,Fake Movie Title 81,1983,164,5.2,806864,66,,A description for 'Fake Movie Title 81'.,4.99,4
82,40906cf1-eff6-4758-aa38-6d7ba7846d5a,Fake Movie Title 82,2004,81,5.9,419359,55,311929766,A description for 'Fake Movie Title 82'.,4.99,5
83,792cc263-ac07-4f9d-a1db-6cc68ef14f79,Fake Movie Title 83,1984,141,8.0,155806,94,,A description for 'Fake Movie Title 83'.,9.99,4
84,e1dae323-6f8a-4ba3-95a1-261ff8ddad49,Fake Movie Title 84,1986,157,8.3,890018,31,,A description for 'Fake Movie Title 84'.,14.99,3
85,2049a929-26f1-4cde-8a95-802b901978b4,Fake Movie Title 85,2025,173,6.6,767583,69,26019608,A description for 'Fake Movie Title 85'.,4.99,6
86,ed27b847-ad78-4d0f-9995-6bef60b5cff4,Fake Movie Title 86,2014,81,8.0,141797,43,,A description for 'Fake Movie Title 86'.,14.99,3
87,973267ed-4b08-4343-ab3d-12876db9fcbf,Fake Movie Title 87,2003,84,8.5,687874,,264097218,A description for 'Fake Movie Title 87'.,9.99,1
88,f9e48e64-e3aa-4f71-b2a3-a70d7b06f697,Fake Movie Title 88,1981,135,6.2,861241,,56124623,A description for 'Fake Movie Title 88'.,4.99,4
89,3ca232b5-4010-4537-b8e2-36b7d5eafa87,Fake Movie Title 89,2009,128,4.5,232354,47,,A description for 'Fake Movie Title 89'.,19.99,4
90,02da47d0-6c68-4a4d-8fc6-dd26d23009f0,Fake Movie Title 90,2013,103,7.6,868231,66,175126740,A description for 'Fake Movie Title 90'.,14.99,4
91,a18ca63c-1109-45e6-93a2-651e4d32cef5,Fake Movie Title 91,2016,148,5.6,10356,68,166936217,A description for 'Fake Movie Title 91'.,14.99,2
92,775cf9db-ed24-4af2-b5fa-df49fb4e1719,Fake Movie Title 92,1992,161,8.6,229990,,,A description for 'Fake Movie Title 92'.,9.99,6
93,3b10a7d2-0cc4-43c3-a0b9-c2e9b0aa401f,Fake Movie Title 93,1997,107,4.7,194751,77,,A description for 'Fake Movie Title 93'.,14.99,5
94,970a68a9-b1a4-4a1f-9ad5-e86a457e8ec9,Fake Movie Title 94,2002,166,6.0,543913,43,,A description for 'Fake Movie Title 94'.,4.99,1
95,79802126-4649-4c90-bc5e-ec2e432846c9,Fake Movie Title 95,2013,145,7.6,114589,94,159846885,A description for 'Fake Movie Title 95'.,9.99,2
96,62155e83-7789-492d-a40b-72973c1315a2,Fake Movie Title 96,2002,138,6.4,219208,99,496440426,A description for 'Fake Movie Title 96'.,9.99,6
97,2dfa346f-4f48-4bca-931f-9146138f54b3,Fake Movie Title 97,2013,106,4.1,948495,,60146377,A description for 'Fake Movie Title 97'.,9.99,1
98,d76a7183-0bf5-4e2a-9978-3c2fe66dceda,Fake Movie Title 98,1984,138,8.6,28778,63,389901664,A description for 'Fake Movie Title 98'.,19.99,5
99,cd4a57b5-9fef-4337-97ae-629149232088,Fake Movie Title 99,2005,128,9.1,910384,45,454173592,A description for 'Fake Movie Title 99'.,9.99,2
100,f548d572-9935-4ffd-872b-7f451fdde197,Fake Movie Title 100,2012,137,6.6,177053,37,81677976,A description for 'Fake Movie Title 100'.,14.99,5
